sentence	label
boy hurt in california quake i should bedead httpAddress	0
rt usrId bird s eye view #napaquake damage as seen from drone above httpAddress httpAddress	0
napa #earthquake damage and insurance losses could cost billions httpAddress #napaquake	0
update hospital officials say a 13 year old boy was critically injured by a falling chimney in the #napaquake	0
rt usrId washington usa tacoma httpAddress breaking news DD earthquake bay area earthquake damages napa county airport he	0
rt usrId our httpAddress for #avtweeps usrId usrId in recovery from httpAddress pls support them and usrId in t	1
rt usrId #djkingassassin 6.0 earthquake shakes northern california cop who killed michael brown httpAddress httpAddress	0
#3tking napa earthquake hastens calls for warning system httpAddress	1
we are grateful to report we suffered no damage to our winery or offices and aside from reorganized homes everyone is httpAddress #napaquake	1
seems as though most napa wineries were not insured for quake httpAddress while harvest was least affected many suffered damage to httpAddress	0
httpAddress california quake damages historic buildings the strongest quake to hit the bay area in .. httpAddress	0
rt usrId the kids tell me they will donate to the napa landmarks to help rebuild the downtown httpAddress #napaquake httpAddress	1
i hope the people of california are good amp ; no one got hurt or dead from the big httpAddress	1
httpAddress california earthquake wine country clears up damage around napa authorities in california s wine country nort	0
rt usrId D shelters open for #napaquake crosswalk cmnty church D590 1st st #napa amp ; florence douglas cntr DD amador st #vallejo	1
usgs reports a httpAddress #earthquake 10km wnw of big bear lake california on httpAddress 6 12 20 utc httpAddress #quake	1
prayers for the people of napa california ! #earthquake	1
#napaquake damage figure for homes businesses 300 million per usrId httpAddress via usrId	0
rt usrId napa boy crushed by brick chimney in 6.0 quake i should be dead httpAddress	0
expert urges california nuclear plant closure over earthquake threat former lead inspector for diablo canyon .. httpAddress	1
rt usrId average #earthquake insurance cost california 860 a month via usrId httpAddress usrId usrId	0
rt usrId infodude amazing use of #bigdata from usrId how the napa earthquake affected bay area sleepers httpAddress	0
my heart goes out to all of those affected by the napa quake this httpAddress as a native southern californian httpAddress httpAddress	1
rt usrId usa httpAddress DD earthquake three critically injured almost DD treated at napa hospital following 6.0 .. gi	0
# napa earthquake hastens calls for warning system the earthquake that jolted cali httpAddress	1
#house candidate #jameshinton #federalreserve must help rebuild #napa #sonoma #northbay c 0 30 year loans today httpAddress	1
willie brown will present 50 00 check weds from raiders to napa valley schools to assist in efforts to recover from sunday s httpAddress	1
#quake rocks #california wine country dozens injured httpAddress	0
california begins quake clear up workers assess damage and begin to clear up after a 6.0 magnitude quake httpAddress httpAddress	0
#drinknapa and help our neighbors who lost so much ! httpAddress	1
rt usrId the usrId shelters in napa and vallejo remain open to assist those affected by the httpAddress #napaquake	1
can t reach my friends in sf . hope they r httpAddress rt usrId the earthquake in northern california .. httpAddress	0
not the wine ! curse you seismic activity ! via usrId california quake means big damage for napa valley wineries httpAddress	0
rt usrId the strongest earthquake in DD years struck northern california early sunday injuring more than DD people httpAddress	0
my thoughts are with my friends amp ; neighbors in napa #napaquake	1
rt usrId hoping the best for those affected by the napa earthquake have to shoutout the usrId for ending with this line ht	1
rt usrId damages in city of #vallejo are estimated at 5 million httpAddress #napaquake	0
rt usrId nappa earthquake wreaks california s 13 billion #wine industry httpAddress httpAddress	0
pops just sent me a picture of all the wine barrels that spilled during the california httpAddress dude really knows how to ruin my httpAddress	0
rt usrId 100 injured in northern california s most powerful earthquake since httpAddress httpAddress httpAddress	0
damage from northern california earthquake could reach 1 billion httpAddress via usrId	0
napa valley wineries sustain damage from 6.0 earthquake httpAddress	0
yare update 1 california wine country quake losses seen in the billions reuters cnnupdate httpAddress httpAddress yare	0
give where you live how to help bay area earthquake victims via usrId httpAddress	1
california earthquake aftermath buildings destroyed over DD injured 6.0 magnitude earthquake caused six httpAddress httpAddress	0
napa earthquake a reminder to be prepared emergency httpAddress httpAddress #appropriationscommittee #napasunday #napavalley	1
rt usrId california wine country shaken by 6.0 quake dozens hurt httpAddress	0
